energy_offer,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
hour,1,2,3,4,5,6,7,8,9,10,11,12
1,23.7,27.48,46.5,64.68,53.4,27.72,25.56,22.02,19.32,19.8,22.56,19.5
2,11.1,17.52,35.22,52.32,42.3,16.02,12.96,9.18,3.42,7.44,10.38,15.66
3,8.58,10.26,27.3,45.72,36.6,11.34,8.1,4.5,0,0,5.82,9.96
4,7.92,9.66,27.24,38.46,34.08,10.62,6.72,3.24,0,0,4.98,9.06
5,15.78,16.5,34.26,45.84,37.14,15.42,10.92,8.7,3.6,1.98,11.4,15.36
6,31.38,36.66,42.54,51.3,46.14,27.66,22.08,23.04,19.62,17.7,27.84,31.68
7,92.28,94.08,117.42,122.28,126.72,95.4,68.04,70.14,69.9,78.48,77.28,100.14
8,104.16,106.68,134.64,147,147.3,115.14,87.96,89.88,87.12,96.24,96.42,116.1
9,122.28,124.74,144.78,169.32,165.6,133.32,105.24,106.08,101.76,113.4,114.6,136.62
10,133.02,133.44,164.4,182.16,173.22,141.42,117.96,118.5,112.02,125.4,125.52,150.18
11,134.88,139.08,173.4,190.68,178.62,146.58,124.32,120.24,113.88,128.1,129.06,151.38
12,140.64,141.54,178.08,193.98,189.42,152.82,129.9,126.72,117.6,133.26,133.38,156.18
13,141.06,140.7,177.84,194.28,188.04,156.48,129.54,128.04,121.08,133.02,134.64,157.56
14,136.74,144.6,171.42,191.16,185.1,153.06,126.66,125.1,119.7,131.88,131.22,154.44
15,144.36,146.58,175.08,196.92,187.8,155.58,128.34,126.84,118.5,137.52,133.92,154.56
16,149.46,143.82,179.46,198.36,191.28,157.38,130.92,128.94,121.32,140.16,138,157.5
17,145.14,141.3,182.4,190.08,187.74,159.9,131.04,129.96,129,147.54,141.54,162.42
18,161.88,145.08,187.08,198.84,188.46,171.24,136.32,142.56,157.02,172.86,176.4,186.84
19,267.6,242.16,256.08,256.98,235.86,221.22,193.92,201.24,228.42,256.62,286.2,293.58
20,279.12,286.86,300,300,296.46,265.26,259.2,251.64,246.78,244.56,270.78,289.2
21,240.3,257.1,285.12,295.14,261.72,235.5,232.74,220.74,210.18,217.8,233.52,264.06
22,191.88,200.58,230.1,243.84,214.74,188.7,184.68,181.2,170.76,169.8,191.22,212.04
23,72,80.22,217.32,230.4,216.12,182.82,74.52,68.04,63.3,67.68,70.02,85.68
24,41.4,47.52,181.86,199.02,182.94,153.12,43.56,40.38,34.02,34.26,42.12,55.02
