energy_offer,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
hour,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31,17.31
9,42.65,42.65,42.65,42.65,42.65,42.65,42.65,42.65,42.65,42.65,42.65,42.65
10,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95
11,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97,70.97
12,77.03,77.03,77.03,77.03,77.03,77.03,77.03,77.03,77.03,77.03,77.03,77.03
13,75.11,75.11,75.11,75.11,75.11,75.11,75.11,75.11,75.11,75.11,75.11,75.11
14,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1
15,52.89,52.89,52.89,52.89,52.89,52.89,52.89,52.89,52.89,52.89,52.89,52.89
16,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1
17,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
