energy_offer,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
hour,1,2,3,4,5,6,7,8,9,10,11,12
1,82,82,82,0,0,0,0,0,0,0,82,82
2,88,88,88,0,0,0,0,0,0,0,88,88
3,93,93,93,0,0,0,0,0,0,0,93,93
4,95,95,95,0,0,0,0,0,0,0,95,95
5,95,95,95,0,0,0,0,0,0,0,95,95
6,96,96,96,0,0,0,0,0,0,0,96,96
7,97,97,97,0,0,0,0,0,0,0,97,97
8,97,97,97,0,0,0,0,0,0,0,97,97
9,97,97,97,0,0,0,0,0,0,0,97,97
10,96,96,96,0,0,0,0,0,0,0,96,96
11,95,95,95,0,0,0,0,0,0,0,95,95
12,93,93,93,0,0,0,0,0,0,0,93,93
13,91,91,91,0,0,0,0,0,0,0,91,91
14,89,89,89,0,0,0,0,0,0,0,89,89
15,88,88,88,0,0,0,0,0,0,0,88,88
16,86,86,86,0,0,0,0,0,0,0,86,86
17,84,84,84,0,0,0,0,0,0,0,84,84
18,82,82,82,0,0,0,0,0,0,0,82,82
19,79,79,79,0,0,0,0,0,0,0,79,79
20,75,75,75,0,0,0,0,0,0,0,75,75
21,73,73,73,0,0,0,0,0,0,0,73,73
22,70,70,70,0,0,0,0,0,0,0,70,70
23,68,68,68,0,0,0,0,0,0,0,68,68
24,82,82,82,0,0,0,0,0,0,0,82,82
