energy_offer,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
hour,1,2,3,4,5,6,7,8,9,10,11,12
1,19.75,22.9,38.75,53.9,44.5,23.1,21.3,18.35,16.1,16.5,18.8,16.25
2,9.25,14.6,29.35,43.6,35.25,13.35,10.8,7.65,2.85,6.2,8.65,13.05
3,7.15,8.55,22.75,38.1,30.5,9.45,6.75,3.75,0,0,4.85,8.3
4,6.6,8.05,22.7,32.05,28.4,8.85,5.6,2.7,0,0,4.15,7.55
5,13.15,13.75,28.55,38.2,30.95,12.85,9.1,7.25,3,1.65,9.5,12.8
6,26.15,30.55,35.45,42.75,38.45,23.05,18.4,19.2,16.35,14.75,23.2,26.4
7,76.9,78.4,97.85,101.9,105.6,79.5,56.7,58.45,58.25,65.4,64.4,83.45
8,86.8,88.9,112.2,122.5,122.75,95.95,73.3,74.9,72.6,80.2,80.35,96.75
9,101.9,103.95,120.65,141.1,138,111.1,87.7,88.4,84.8,94.5,95.5,113.85
10,110.85,111.2,137,151.8,144.35,117.85,98.3,98.75,93.35,104.5,104.6,125.15
11,112.4,115.9,144.5,158.9,148.85,122.15,103.6,100.2,94.9,106.75,107.55,126.15
12,117.2,117.95,148.4,161.65,157.85,127.35,108.25,105.6,98,111.05,111.15,130.15
13,117.55,117.25,148.2,161.9,156.7,130.4,107.95,106.7,100.9,110.85,112.2,131.3
14,113.95,120.5,142.85,159.3,154.25,127.55,105.55,104.25,99.75,109.9,109.35,128.7
15,120.3,122.15,145.9,164.1,156.5,129.65,106.95,105.7,98.75,114.6,111.6,128.8
16,124.55,119.85,149.55,165.3,159.4,131.15,109.1,107.45,101.1,116.8,115,131.25
17,120.95,117.75,152,158.4,156.45,133.25,109.2,108.3,107.5,122.95,117.95,135.35
18,134.9,120.9,155.9,165.7,157.05,142.7,113.6,118.8,130.85,144.05,147,155.7
19,223,201.8,213.4,214.15,196.55,184.35,161.6,167.7,190.35,213.85,238.5,244.65
20,232.6,239.05,250,250,247.05,221.05,216,209.7,205.65,203.8,225.65,241
21,200.25,214.25,237.6,245.95,218.1,196.25,193.95,183.95,175.15,181.5,194.6,220.05
22,159.9,167.15,191.75,203.2,178.95,157.25,153.9,151,142.3,141.5,159.35,176.7
23,60,66.85,181.1,192,180.1,152.35,62.1,56.7,52.75,56.4,58.35,71.4
24,34.5,39.6,151.55,165.85,152.45,127.6,36.3,33.65,28.35,28.55,35.1,45.85
